lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
en,840,94.88,8.13,4.71,84.73,84.73,43.72,708,55.79,57.93
es,840,81.55,25.01,4.95,84.22,84.22,41.92,708,46.75,53.86
fr,840,93.33,17.11,4.98,84.16,84.16,45.84,708,50.28,52.2
zh,840,89.88,32.68,6.53,86.15,86.15,36.27,708,38.98,43.01
