lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
en,4786,95.17,8.44,5.89,85.76,85.76,40.77,4082,52.82,54.17
es,900,82.44,23.88,4.86,84.48,84.48,41.59,756,44.31,50.64
fr,899,93.55,16.35,4.91,84.4,84.4,45.39,755,47.42,49.15
zh,900,90.33,30.27,6.26,86.38,86.38,36.86,756,37.7,41.29
