lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
en,615,96.26,8.86,4.44,84.82,84.82,40.23,519,55.49,57.2
es,615,77.07,34.64,3.8,84.14,84.14,38.0,519,43.93,52.59
fr,615,93.66,11.3,3.84,83.69,83.69,42.75,519,48.17,49.9
zh,615,88.62,43.59,4.97,86.37,86.37,32.47,519,37.57,42.05
