lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
en,3834,97.34,5.92,4.36,85.42,85.42,36.9,3258,53.41,54.19
es,3834,83.02,31.28,4.36,85.3,85.3,36.61,3258,43.74,49.24
fr,3635,95.52,9.3,4.36,84.81,84.81,38.69,3105,46.47,47.19
zh,3834,97.42,10.33,4.96,86.77,86.77,34.59,3258,43.09,43.72
