level,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
advanced,6968,92.45,13.46,6.32,85.05,85.05,50.19,5928,45.78,48.2
basic,7904,95.23,14.73,5.17,86.93,86.93,29.36,6708,47.48,48.86
intermediate,7280,94.31,11.5,5.5,83.79,83.79,42.41,6188,47.5,48.87
