lang,n_files,syntax_ok_pct,ruff_per_100loc_all,ruff_per_100loc_valid,mi_all,mi_valid,loc_mean,n_covered,induction_all,induction_valid
en,5538,96.93,7.3,5.46,85.04,85.04,40.91,4706,53.44,54.31
es,5538,87.23,23.2,5.24,84.96,84.96,39.26,4706,44.9,49.0
fr,5538,95.11,12.55,5.95,84.85,84.85,42.16,4706,46.54,47.53
zh,5538,96.95,9.61,6.23,86.35,86.35,38.49,4706,42.92,43.8
